address,reason
"2021 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"2001 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1949 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"2009 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1977 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"2013 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1981 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1945 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1989 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1961 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"1969 Zettler Center Dr, Columbus, OH 43223",Commercial/Industrial: Zettler Center Drive commercial zone
"105 I-71 S Overpass Greenlawn Ave, Columbus, OH 43223",Infrastructure: Interstate highway marker/overpass
"105 I-71 N Overpass Greenlawn Ave, Columbus, OH 43223",Infrastructure: Interstate highway marker/overpass
"104 I-71 S Overpass Frank Rd, Columbus, OH 43223",Infrastructure: Interstate highway marker/overpass
"104 I-71 N Overpass Frank Rd, Columbus, OH 43223",Infrastructure: Interstate highway marker/overpass
"1919 Brown Rd, Columbus, OH 43223",Government: Ohio Department of Developmental Disabilities
"1657 Harrisburg Pike, Columbus, OH 43223",Commercial: Auto body shop
"1600 S Central Ave, Columbus, OH 43223",Commercial: Laundromat
"1655 Harrisburg Pike, Columbus, OH 43223",Commercial property
"2030 Frank Rd, Columbus, OH 43223",Commercial: Manufacturing company
"1003 Brown Rd, Columbus, OH 43223",Commercial: Hair salon
"1624 Harrisburg Pike, Columbus, OH 43223",Commercial: Laundromat and dry cleaner
"1085 Stimmel Rd, Columbus, OH 43223",Commercial: Funeral home
"999 Stimmel Rd, Columbus, OH 43223",Commercial: Pet crematorium
"1582 Harrisburg Pike, Columbus, OH 43223",Commercial: Bank
"1239 Brown Rd, Columbus, OH 43223",Commercial: Tax services company
"992 Harrisburg Pike, Columbus, OH 43223",Commercial: Auto repair shop
"1750 Harrisburg Pike, Columbus, OH 43223",Commercial: Financial institution
"1627 Harrisburg Pike, Columbus, OH 43223",Commercial: Funeral home
"1466 Frank Rd, Columbus, OH 43223",Commercial: Warehouse and industrial building
"1924 Frank Rd, Columbus, OH 43223",Commercial: Business services company
"0 Greenleaf Rd, Columbus, OH 43223",Vacant lot
"1310 Greenleaf Rd, Columbus, OH 43223",Vacant lot
"1260 Greenleaf Rd, Columbus, OH 43223",Vacant lot
"1450 Greenleaf Rd, Columbus, OH 43223",Vacant lot
"1430 Greenleaf Rd, Columbus, OH 43223",Vacant lot
"1280 Greenleaf Rd, Columbus, OH 43223",Vacant lot
"2113 Frank Rd, Columbus, OH 43223",Industrial: Capitol View Industrial Park area
"1730 Frank Rd, Columbus, OH 43223",Industrial: Capitol View Industrial Park area
"1970 Frank Rd, Columbus, OH 43223",Industrial: Capitol View Industrial Park area
"1985 Frank Rd, Columbus, OH 43223",Industrial: Capitol View Industrial Park area
"1602 Harrisburg Pike, Columbus, OH 43223",Commercial/Industrial property
"1031 Frank Rd, Columbus, OH 43223",Industrial: Warehouse or distribution facility
"840 Harrisburg Pike, Columbus, OH 43223",Commercial/Industrial property
"2123 Frank Rd, Columbus, OH 43223",Industrial: Capitol View Industrial Park area
"2139 Frank Rd, Columbus, OH 43223",Industrial: Capitol View Industrial Park area
"1748 Frank Rd, Columbus, OH 43223",Commercial: Former car lot/mixed use
"1113 Harrisburg Pike, Columbus, OH 43223",Commercial/Industrial property
"1080 Frank Rd, Columbus, OH 43223",Industrial: Warehouse or distribution facility
"1455 Harrisburg Pike, Columbus, OH 43223",Commercial/Industrial property
"1092 Frank Rd, Columbus, OH 43223",Industrial: Warehouse or distribution facility
"1328 Harrisburg Pike, Columbus, OH 43223",Commercial/Industrial property
"1602 Harrisburg Pike Apt B, Columbus, OH 43223",Commercial/Industrial property
